dataset,region,number_proteins,mean_length_region,total_length_region,mean_length_protein,total_length_protein,total_snv,region_snv,density
gnomad_common,phos,4701,53.4779834077856,251400,430.80004254414,2025191,13514,1661,0.990116808356554
gnomad_rare,phos,8502,47.9571865443425,407732,352.327334744766,2995487,1209092,158192,0.961208960779887
cosmic,phos,8641,47.8846198356672,413771,352.906260849439,3049463,621999,82364,0.975912909188916
clinvar,phos,1560,66.3512820512821,103508,470.355769230769,733755,14683,2362,1.14036072388946
