"class","category","num_proteins","length","SAVs"
"common","Bcells.replicate.1.half_life",3497,2195877,8196
"rare","Bcells.replicate.1.half_life",3497,2195877,825483
"cosmic","Bcells.replicate.1.half_life",3497,2195877,346950
"clinvar","Bcells.replicate.1.half_life",3497,2195877,5066
"common","Bcells.replicate.2.half_life",3835,2411577,9273
"rare","Bcells.replicate.2.half_life",3835,2411577,918776
"cosmic","Bcells.replicate.2.half_life",3835,2411577,391564
"clinvar","Bcells.replicate.2.half_life",3835,2411577,5818
"common","NK.cells.replicate.1.half_life",3298,2035360,7804
"rare","NK.cells.replicate.1.half_life",3298,2035360,774717
"cosmic","NK.cells.replicate.1.half_life",3298,2035360,330917
"clinvar","NK.cells.replicate.1.half_life",3298,2035360,5176
"common","NK.cells.replicate.2.half_life",3560,2224508,8549
"rare","NK.cells.replicate.2.half_life",3560,2224508,845780
"cosmic","NK.cells.replicate.2.half_life",3560,2224508,360627
"clinvar","NK.cells.replicate.2.half_life",3560,2224508,5521
"common","NK.cells.replicate.1.half_life",3298,2035360,7804
"rare","NK.cells.replicate.1.half_life",3298,2035360,774717
"cosmic","NK.cells.replicate.1.half_life",3298,2035360,330917
"clinvar","NK.cells.replicate.1.half_life",3298,2035360,5176
"common","Hepatocytes.replicate.1.half_life",4334,2598174,11369
"rare","Hepatocytes.replicate.1.half_life",4334,2598174,1022325
"cosmic","Hepatocytes.replicate.1.half_life",4334,2598174,422620
"clinvar","Hepatocytes.replicate.1.half_life",4334,2598174,9172
"common","Hepatocytes.replicate.2.half_life",4419,2683315,11767
"rare","Hepatocytes.replicate.2.half_life",4419,2683315,1057707
"cosmic","Hepatocytes.replicate.2.half_life",4419,2683315,439630
"clinvar","Hepatocytes.replicate.2.half_life",4419,2683315,8872
"common","Monocytes.replicate.1.half_life",3917,2483314,9634
"rare","Monocytes.replicate.1.half_life",3917,2483314,946417
"cosmic","Monocytes.replicate.1.half_life",3917,2483314,399564
"clinvar","Monocytes.replicate.1.half_life",3917,2483314,6280
"common","Monocytes.replicate.2.half_life",3831,2403204,9448
"rare","Monocytes.replicate.2.half_life",3831,2403204,916267
"cosmic","Monocytes.replicate.2.half_life",3831,2403204,392891
"clinvar","Monocytes.replicate.2.half_life",3831,2403204,5751
