"expression","half_life","rho","pval","qval"
"Kidney","Bcells.replicate.1.half_life",0.131377893519111,7.99188348745764e-15,2.81314298758509e-14
"Kidney","Bcells.replicate.2.half_life",0.110833873030545,7.3733775067954e-12,2.40317489110369e-11
"Kidney","NK.cells.replicate.1.half_life",0.148985294129257,1.27677061740979e-17,4.88503540574179e-17
"Kidney","NK.cells.replicate.2.half_life",0.171222671953638,1.40343132636002e-24,6.1750978359841e-24
"Kidney","NK.cells.replicate.1.half_life",0.148985294129257,1.27677061740979e-17,4.88503540574179e-17
"Kidney","Hepatocytes.replicate.1.half_life",0.0445257327071712,0.00369645778243108,0.00570681201498131
"Kidney","Hepatocytes.replicate.2.half_life",0.050170307564347,0.000950582297776781,0.0015783253246105
"Kidney","Monocytes.replicate.1.half_life",0.0584696742460173,0.000268434033756676,0.000524937666013055
"Kidney","Monocytes.replicate.2.half_life",0.0707426918489408,1.30908767715492e-05,2.87999288974083e-05
"Kidney","Mouse.Neurons..replicate.3.half_life",0.302236931204883,4.78553718596262e-92,1.05281818091178e-90
"Kidney","Mouse.Neurons..replicate.4.half_life",0.276647692397753,1.603160141439e-93,4.70260308155439e-92
"Liver","Bcells.replicate.1.half_life",0.140601254151745,9.01145971959891e-17,3.30420189718626e-16
"Liver","Bcells.replicate.2.half_life",0.143619129906967,5.88532814905029e-19,2.46623274817346e-18
"Liver","NK.cells.replicate.1.half_life",0.179964339569493,4.12987387777695e-25,1.91278369075985e-24
"Liver","NK.cells.replicate.2.half_life",0.18725208145441,3.40191066612666e-29,1.76098905070086e-28
"Liver","NK.cells.replicate.1.half_life",0.179964339569493,4.12987387777695e-25,1.91278369075985e-24
"Liver","Hepatocytes.replicate.1.half_life",0.0183445167651465,0.229968140640232,0.281072171893617
"Liver","Hepatocytes.replicate.2.half_life",0.0412462713374824,0.00638515520970824,0.00968782169748836
"Liver","Monocytes.replicate.1.half_life",0.0879185060080148,4.16150558669685e-08,1.14441403634164e-07
"Liver","Monocytes.replicate.2.half_life",0.093944108827054,6.88835475722191e-09,1.95540393108235e-08
"Liver","Mouse.Neurons..replicate.3.half_life",0.326722032448401,4.87458805831233e-106,2.14481874565743e-104
"Liver","Mouse.Neurons..replicate.4.half_life",0.303081052826224,1.92878326963061e-110,1.69732927727494e-108
"Lung","Bcells.replicate.1.half_life",0.0680650394056094,6.00290364534386e-05,0.000125775123997681
"Lung","Bcells.replicate.2.half_life",0.055667760749329,0.000597663785572306,0.00105188826260726
"Lung","NK.cells.replicate.1.half_life",0.0611902242953339,0.000470015192511388,0.000861694519604211
"Lung","NK.cells.replicate.2.half_life",0.0820027140429323,1.08358179655622e-06,2.64875550269298e-06
"Lung","NK.cells.replicate.1.half_life",0.0611902242953339,0.000470015192511388,0.000861694519604211
"Lung","Hepatocytes.replicate.1.half_life",-0.0396963337950744,0.0099530034020188,0.0148451576165704
"Lung","Hepatocytes.replicate.2.half_life",-0.0363708762880788,0.0170233386725243,0.0245582590685596
"Lung","Monocytes.replicate.1.half_life",-0.0240059893784968,0.13459777351693,0.182224677992151
"Lung","Monocytes.replicate.2.half_life",-0.00515332531081218,0.750874659607456,0.796108072836821
"Lung","Mouse.Neurons..replicate.3.half_life",0.227736614084359,8.03353739851767e-52,7.85501434521728e-51
"Lung","Mouse.Neurons..replicate.4.half_life",0.202070770553667,8.78067732761195e-50,7.72699604829852e-49
"Ovary","Bcells.replicate.1.half_life",0.0373300520748425,0.0281751776433823,0.0393558036923435
"Ovary","Bcells.replicate.2.half_life",0.0221581957110153,0.173242075424564,0.217790037676594
"Ovary","NK.cells.replicate.1.half_life",0.0681395196092312,0.00010480660768113,0.00020961321536226
"Ovary","NK.cells.replicate.2.half_life",0.0820445805237931,1.12383049669642e-06,2.67289415430499e-06
"Ovary","NK.cells.replicate.1.half_life",0.0681395196092312,0.00010480660768113,0.00020961321536226
"Ovary","Hepatocytes.replicate.1.half_life",-0.0162971088822222,0.292384056465535,0.347699959040095
"Ovary","Hepatocytes.replicate.2.half_life",-0.0077998905471737,0.610663806207884,0.667001240299889
"Ovary","Monocytes.replicate.1.half_life",-0.00811982192003972,0.613944323457853,0.667001240299889
"Ovary","Monocytes.replicate.2.half_life",0.0143548869453466,0.377984778194404,0.43766658527773
"Ovary","Mouse.Neurons..replicate.3.half_life",0.20824584812067,2.22957341800253e-43,1.63502050653519e-42
"Ovary","Mouse.Neurons..replicate.4.half_life",0.173739190478193,6.36425454401671e-37,3.73369599915647e-36
"Pancreas","Bcells.replicate.1.half_life",0.0601496546324838,0.000399297440290815,0.000763873364034603
"Pancreas","Bcells.replicate.2.half_life",0.0563007292688026,0.00053133325298493,0.000954231148217834
"Pancreas","NK.cells.replicate.1.half_life",0.115875044706679,3.62770744305641e-11,1.10082156892746e-10
"Pancreas","NK.cells.replicate.2.half_life",0.121437893898192,4.97478732191638e-13,1.68377417049477e-12
"Pancreas","NK.cells.replicate.1.half_life",0.115875044706679,3.62770744305641e-11,1.10082156892746e-10
"Pancreas","Hepatocytes.replicate.1.half_life",-0.0075514633697489,0.623921653521368,0.669574457437565
"Pancreas","Hepatocytes.replicate.2.half_life",-0.000998514921846331,0.947797234459373,0.962816579958549
"Pancreas","Monocytes.replicate.1.half_life",0.0200451563321746,0.212028564418839,0.262795967167011
"Pancreas","Monocytes.replicate.2.half_life",0.0328864967049515,0.0430042826626217,0.0591308886611049
"Pancreas","Mouse.Neurons..replicate.3.half_life",0.271360690312979,7.89122950305054e-74,1.15738032711408e-72
"Pancreas","Mouse.Neurons..replicate.4.half_life",0.248172317115778,5.25073027270653e-75,9.2412852799635e-74
"Prostate","Bcells.replicate.1.half_life",0.0805865741634385,2.04427979498981e-06,4.73412163050271e-06
"Prostate","Bcells.replicate.2.half_life",0.0652517646189756,5.77933461195806e-05,0.000124044255085929
"Prostate","NK.cells.replicate.1.half_life",0.0920719883180019,1.43040095754942e-07,3.7022142430691e-07
"Prostate","NK.cells.replicate.2.half_life",0.108329480246176,1.13714588638045e-10,3.33562793338266e-10
"Prostate","NK.cells.replicate.1.half_life",0.0920719883180019,1.43040095754942e-07,3.7022142430691e-07
"Prostate","Hepatocytes.replicate.1.half_life",-0.010111110623284,0.511602867762845,0.577192979014492
"Prostate","Hepatocytes.replicate.2.half_life",-0.00306635613140426,0.840667439878333,0.870338055403451
"Prostate","Monocytes.replicate.1.half_life",0.0228358200093733,0.15519222005791,0.203834557688001
"Prostate","Monocytes.replicate.2.half_life",0.0417797864747946,0.0101404159668883,0.0148726100847695
"Prostate","Mouse.Neurons..replicate.3.half_life",0.243077105360592,1.98937647361665e-59,2.50093042397522e-58
"Prostate","Mouse.Neurons..replicate.4.half_life",0.215172807469023,9.82491272889563e-57,1.08074040017852e-55
"Testis","Bcells.replicate.1.half_life",0.0198405198511674,0.241953804277458,0.291670339402963
"Testis","Bcells.replicate.2.half_life",-0.00443440672146755,0.784151119760215,0.821491649272606
"Testis","NK.cells.replicate.1.half_life",0.0581173056431893,0.000868463711036111,0.0014697078186765
"Testis","NK.cells.replicate.2.half_life",0.0860235989809654,2.92692300628482e-07,7.35912070151612e-07
"Testis","NK.cells.replicate.1.half_life",0.0581173056431893,0.000868463711036111,0.0014697078186765
"Testis","Hepatocytes.replicate.1.half_life",-0.000786366067147019,0.958891651568978,0.962816579958549
"Testis","Hepatocytes.replicate.2.half_life",0.0118462278985944,0.432891569916766,0.494733222762018
"Testis","Monocytes.replicate.1.half_life",-0.0158810932223752,0.321618745367032,0.377365994563984
"Testis","Monocytes.replicate.2.half_life",0.0236693894055652,0.144091485731479,0.192121980975305
"Testis","Mouse.Neurons..replicate.3.half_life",0.212993008637049,3.40998947528791e-46,2.72799158023033e-45
"Testis","Mouse.Neurons..replicate.4.half_life",0.183326330004974,6.03337989449071e-42,4.08413408242448e-41
"Uterus","Bcells.replicate.1.half_life",0.0537378440957836,0.00157129856906138,0.00246918346566789
"Uterus","Bcells.replicate.2.half_life",0.0358894538686102,0.0273472040340757,0.0388153863709462
"Uterus","NK.cells.replicate.1.half_life",0.0563024632670314,0.00133624800737554,0.00213799681180086
"Uterus","NK.cells.replicate.2.half_life",0.076797482315429,5.12666264685854e-06,1.1567854177527e-05
"Uterus","NK.cells.replicate.1.half_life",0.0563024632670314,0.00133624800737554,0.00213799681180086
"Uterus","Hepatocytes.replicate.1.half_life",-0.0215747156215589,0.16323318801703,0.20818145718114
"Uterus","Hepatocytes.replicate.2.half_life",-0.0088700590530052,0.562463556146408,0.626541682795999
"Uterus","Monocytes.replicate.1.half_life",0.00074973449291562,0.962816579958549,0.962816579958549
"Uterus","Monocytes.replicate.2.half_life",0.0228559502121366,0.160093978088169,0.207180442231748
"Uterus","Mouse.Neurons..replicate.3.half_life",0.202429678884712,5.3271022841844e-41,3.34846429291591e-40
"Uterus","Mouse.Neurons..replicate.4.half_life",0.167999552453885,1.29575565887552e-34,7.12665612381534e-34
