"stabilility","abundance","rho","pval","qval"
"pabinostat_1","KIDNEY_abundance",0.398005497293469,2.79180383999545e-91,4.46688614399273e-90
"pabinostat_2","KIDNEY_abundance",0.421863635533945,1.70952460757094e-97,5.47047874422701e-96
"vehicle_1","KIDNEY_abundance",0.404270954586594,6.74197519575078e-88,4.3148641252805e-87
"vehicle_2","KIDNEY_abundance",0.412685685743711,4.54073676196137e-89,4.84345254609213e-88
"pabinostat_1","LIVER_abundance",0.311277779993458,5.03170292396941e-71,5.96349976174152e-71
"pabinostat_2","LIVER_abundance",0.330163052545726,1.86072435442111e-74,2.58883388441198e-74
"vehicle_1","LIVER_abundance",0.324881496080823,3.41252257646167e-71,4.20002778641436e-71
"vehicle_2","LIVER_abundance",0.331188697134442,1.20328370335841e-71,1.54020314029877e-71
"pabinostat_1","LUNG_abundance",0.39067919254524,4.2288132281525e-81,1.040938640776e-80
"pabinostat_2","LUNG_abundance",0.403017796987732,2.46856158675357e-81,6.58283089800952e-81
"vehicle_1","LUNG_abundance",0.392933976783685,3.21716750717123e-76,4.90235048711807e-76
"vehicle_2","LUNG_abundance",0.391632627338814,1.5201124759618e-73,2.02681663461573e-73
"pabinostat_1","FEMALE_GONAD_abundance",0.336508976039032,7.23958314951172e-83,2.31666660784375e-82
"pabinostat_2","FEMALE_GONAD_abundance",0.338996762649895,6.33331296203532e-78,1.12592230436184e-77
"vehicle_1","FEMALE_GONAD_abundance",0.336067526279728,1.27443724742072e-75,1.85372690533922e-75
"vehicle_2","FEMALE_GONAD_abundance",0.327829922417177,1.84238516381055e-69,2.10558304435491e-69
"pabinostat_1","PANCREAS_abundance",0.354132837702483,8.65225892032933e-86,3.95531836357912e-85
"pabinostat_2","PANCREAS_abundance",0.365429278912956,2.00256102413723e-85,7.12021697471015e-85
"vehicle_1","PANCREAS_abundance",0.35802353648918,6.60260374139805e-81,1.50916656946241e-80
"vehicle_2","PANCREAS_abundance",0.358361756950947,1.59830960915441e-78,3.00858279370241e-78
"pabinostat_1","PROSTATE_GLAND_abundance",0.36705739829755,2.2737340750399e-88,1.81898726003192e-87
"pabinostat_2","PROSTATE_GLAND_abundance",0.373457843231311,1.4361716140865e-85,5.74468645634601e-85
"vehicle_1","PROSTATE_GLAND_abundance",0.358783092177879,8.72072567499916e-78,1.4687537978946e-77
"vehicle_2","PROSTATE_GLAND_abundance",0.362082730165768,8.19510748386032e-77,1.31121719741765e-76
"pabinostat_1","TESTIS_abundance",0.341153664746119,6.56960769696055e-86,3.50379077171229e-85
"pabinostat_2","TESTIS_abundance",0.34601757262656,5.17145022560412e-82,1.50442188381211e-81
"vehicle_1","TESTIS_abundance",0.343517124969047,7.00308707513428e-80,1.49399190936198e-79
"vehicle_2","TESTIS_abundance",0.34724865455975,4.84690549959861e-79,9.69381099919722e-79
"pabinostat_1","UTERUS_abundance",0.353225823718319,2.61887491876708e-60,2.88979301381195e-60
"pabinostat_2","UTERUS_abundance",0.331949097374938,2.62510403499854e-50,2.80011097066511e-50
"vehicle_1","UTERUS_abundance",0.323263445910798,3.75732593757928e-47,3.87853000008183e-47
"vehicle_2","UTERUS_abundance",0.309480690272049,3.54464515766217e-42,3.54464515766217e-42
