"stability","halflife","rho","pval","qval"
"pabinostat_1","Bcells.replicate.1.half_life",0.322159587466231,4.72883215037858e-50,1.22393302715681e-49
"pabinostat_1","Bcells.replicate.2.half_life",0.315399267257367,2.98053081174639e-51,8.74289038112275e-51
"pabinostat_1","NK.cells.replicate.1.half_life",0.295487720053694,1.71811660501223e-39,2.7998937266866e-39
"pabinostat_1","NK.cells.replicate.2.half_life",0.305524562292646,3.49318912616035e-45,6.40418006462731e-45
"pabinostat_1","NK.cells.replicate.1.half_life",0.295487720053694,1.71811660501223e-39,2.7998937266866e-39
"pabinostat_1","Hepatocytes.replicate.1.half_life",0.215777106952525,2.79959767036452e-22,2.79959767036452e-22
"pabinostat_1","Hepatocytes.replicate.2.half_life",0.226471775336657,6.58337477379601e-25,6.89686881064343e-25
"pabinostat_1","Monocytes.replicate.1.half_life",0.22580068021113,9.47139360680429e-27,1.01644224073022e-26
"pabinostat_1","Monocytes.replicate.2.half_life",0.239528617603803,3.78684152486207e-29,4.27233402804951e-29
"pabinostat_1","Mouse.Neurons..replicate.3.half_life",0.276962586449669,4.08312466810009e-38,5.9885828465468e-38
"pabinostat_1","Mouse.Neurons..replicate.4.half_life",0.281622374489128,9.46131537706437e-44,1.66519150636333e-43
"pabinostat_2","Bcells.replicate.1.half_life",0.334223997260839,1.71796892896844e-56,1.88976582186528e-55
"pabinostat_2","Bcells.replicate.2.half_life",0.32508797933321,8.34445817516057e-57,1.64234647067518e-55
"pabinostat_2","NK.cells.replicate.1.half_life",0.333415448796593,7.17407845935894e-53,2.25471037294138e-52
"pabinostat_2","NK.cells.replicate.2.half_life",0.345645873361381,1.52160226127852e-60,6.69504994962549e-59
"pabinostat_2","NK.cells.replicate.1.half_life",0.333415448796593,7.17407845935894e-53,2.25471037294138e-52
"pabinostat_2","Hepatocytes.replicate.1.half_life",0.239081994759167,4.08651916197653e-28,4.49517107817419e-28
"pabinostat_2","Hepatocytes.replicate.2.half_life",0.248000321671052,8.41337631499226e-31,1.05768159388474e-30
"pabinostat_2","Monocytes.replicate.1.half_life",0.260462400930458,6.43423280271124e-37,9.13245946191273e-37
"pabinostat_2","Monocytes.replicate.2.half_life",0.264300819513599,9.42814753939381e-37,1.29637028666665e-36
"pabinostat_2","Mouse.Neurons..replicate.3.half_life",0.312875409842996,3.38482668997598e-50,9.30827339743396e-50
"pabinostat_2","Mouse.Neurons..replicate.4.half_life",0.312586119233753,7.2693109183935e-56,3.99812100511642e-55
"vehicle_1","Bcells.replicate.1.half_life",0.326616918835299,9.01332344953284e-55,3.30488526482871e-54
"vehicle_1","Bcells.replicate.2.half_life",0.320031409873265,3.62933666050605e-56,2.66151355103777e-55
"vehicle_1","NK.cells.replicate.1.half_life",0.308826196502822,6.50571845895044e-46,1.24457222692965e-45
"vehicle_1","NK.cells.replicate.2.half_life",0.331458099002316,1.11978168455126e-56,1.64234647067518e-55
"vehicle_1","NK.cells.replicate.1.half_life",0.308826196502822,6.50571845895044e-46,1.24457222692965e-45
"vehicle_1","Hepatocytes.replicate.1.half_life",0.218392782404434,3.27914999708393e-24,3.3554092993417e-24
"vehicle_1","Hepatocytes.replicate.2.half_life",0.241042560571432,7.11836322689033e-30,8.46508059413985e-30
"vehicle_1","Monocytes.replicate.1.half_life",0.246783623248846,7.8314477010001e-34,1.01348146718825e-33
"vehicle_1","Monocytes.replicate.2.half_life",0.259293282707047,4.18492737331857e-36,5.57990316442477e-36
"vehicle_1","Mouse.Neurons..replicate.3.half_life",0.305862624054115,1.23596116245887e-49,3.02123839712168e-49
"vehicle_1","Mouse.Neurons..replicate.4.half_life",0.304854305178892,4.12678400448389e-55,2.01753884663657e-54
"vehicle_2","Bcells.replicate.1.half_life",0.332451540742115,6.21610916121843e-55,2.48644366448737e-54
"vehicle_2","Bcells.replicate.2.half_life",0.325710275228253,2.41513852205602e-56,2.1253218994093e-55
"vehicle_2","NK.cells.replicate.1.half_life",0.324386953893912,4.12593562522286e-49,9.07705837549028e-49
"vehicle_2","NK.cells.replicate.2.half_life",0.335729176697166,5.33882363902205e-56,3.355832001671e-55
"vehicle_2","NK.cells.replicate.1.half_life",0.324386953893912,4.12593562522286e-49,9.07705837549028e-49
"vehicle_2","Hepatocytes.replicate.1.half_life",0.246422459705738,2.22841069545472e-29,2.58026501578968e-29
"vehicle_2","Hepatocytes.replicate.2.half_life",0.248889441098162,1.63129077537652e-30,1.9937998365713e-30
"vehicle_2","Monocytes.replicate.1.half_life",0.268712563974943,1.24449341929094e-38,1.88819691202763e-38
"vehicle_2","Monocytes.replicate.2.half_life",0.273125192710909,9.45864975961114e-39,1.48635924793889e-38
"vehicle_2","Mouse.Neurons..replicate.3.half_life",0.305211751460846,2.37088993636243e-47,4.96757891428318e-47
"vehicle_2","Mouse.Neurons..replicate.4.half_life",0.311733848201609,5.93254238440034e-55,2.48644366448737e-54
